# 12x12 grid, random capacities, 200 drones: scaling test.
nb_drones: 200

start_hub: g0_0 0 0 [color=green]
hub: g0_7 0 7 [max_drones=1]
hub: g1_7 1 7 [max_drones=1]
hub: g2_7 2 7 [max_drones=2]
hub: g3_7 3 7 [max_drones=3]
hub: g4_7 4 7 [max_drones=3]
hub: g5_7 5 7 [max_drones=2]
hub: g6_7 6 7 [max_drones=1]
hub: g7_7 7 7 [max_drones=1]
hub: g8_7 8 7 [max_drones=3]
hub: g9_7 9 7 [max_drones=1]
hub: g10_7 10 7 [max_drones=1]
hub: g11_7 11 7 [max_drones=1]
hub: g0_8 0 8 [max_drones=1]
hub: g1_8 1 8 [max_drones=1]
hub: g2_8 2 8 [max_drones=3]
hub: g3_8 3 8 [max_drones=1]
hub: g4_8 4 8 [max_drones=3]
hub: g5_8 5 8 [max_drones=3]
hub: g6_8 6 8 [max_drones=3]
hub: g7_8 7 8 [max_drones=2]
hub: g8_8 8 8 [max_drones=1]
hub: g9_8 9 8 [max_drones=1]
hub: g10_8 10 8 [max_drones=2]
hub: g11_8 11 8 [max_drones=2]
hub: g0_9 0 9 [max_drones=1]
hub: g1_9 1 9 [max_drones=2]
hub: g2_9 2 9 [max_drones=3]
hub: g3_9 3 9 [max_drones=1]
hub: g4_9 4 9 [max_drones=3]
hub: g5_9 5 9 [max_drones=1]
hub: g6_9 6 9 [max_drones=2]
hub: g7_9 7 9 [max_drones=1]
hub: g8_9 8 9 [max_drones=1]
hub: g9_9 9 9 [max_drones=2]
hub: g10_9 10 9 [max_drones=1]
hub: g11_9 11 9 [max_drones=1]
hub: g0_10 0 10 [max_drones=2]
hub: g1_10 1 10 [max_drones=1]
hub: g2_10 2 10 [max_drones=1]
hub: g3_10 3 10 [max_drones=2]
hub: g4_10 4 10 [max_drones=3]
hub: g5_10 5 10 [max_drones=1]
hub: g6_10 6 10 [max_drones=1]
hub: g7_10 7 10 [max_drones=2]
hub: g8_10 8 10 [max_drones=2]
hub: g9_10 9 10 [max_drones=1]
hub: g10_10 10 10 [max_drones=1]
hub: g11_10 11 10 [max_drones=1]
hub: g0_11 0 11 [max_drones=1]
hub: g1_11 1 11 [max_drones=1]
hub: g2_11 2 11 [max_drones=3]
hub: g3_11 3 11 [max_drones=1]
hub: g4_11 4 11 [max_drones=1]
hub: g5_11 5 11 [max_drones=1]
hub: g6_11 6 11 [max_drones=3]
hub: g7_11 7 11 [max_drones=1]
hub: g8_11 8 11 [max_drones=2]
hub: g9_11 9 11 [max_drones=3]
hub: g10_11 10 11 [max_drones=1]
end_hub: g11_11 11 11 [color=red]

connection: g0_0-g1_0 [max_link_capacity=2]
connection: g0_0-g0_1 [max_link_capacity=2]
connection: g1_0-g2_0 [max_link_capacity=2]
connection: g1_0-g1_1 [max_link_capacity=1]
connection: g2_0-g3_0 [max_link_capacity=2]
connection: g2_0-g2_1 [max_link_capacity=1]
connection: g3_0-g4_0 [max_link_capacity=1]
connection: g3_0-g3_1 [max_link_capacity=2]
connection: g4_0-g5_0 [max_link_capacity=2]
connection: g4_0-g4_1 [max_link_capacity=1]
connection: g5_0-g6_0 [max_link_capacity=1]
connection: g5_0-g5_1 [max_link_capacity=2]
connection: g6_0-g7_0 [max_link_capacity=1]
connection: g6_0-g6_1 [max_link_capacity=1]
connection: g7_0-g8_0 [max_link_capacity=1]
connection: g7_0-g7_1 [max_link_capacity=1]
connection: g8_0-g9_0 [max_link_capacity=1]
connection: g8_0-g8_1 [max_link_capacity=1]
connection: g9_0-g10_0 [max_link_capacity=1]
connection: g9_0-g9_1 [max_link_capacity=2]
connection: g10_0-g11_0 [max_link_capacity=2]
connection: g10_0-g10_1 [max_link_capacity=1]
connection: g11_0-g11_1 [max_link_capacity=2]
connection: g0_1-g1_1 [max_link_capacity=1]
connection: g0_1-g0_2 [max_link_capacity=1]
connection: g1_1-g2_1 [max_link_capacity=1]
connection: g1_1-g1_2 [max_link_capacity=2]
connection: g2_1-g3_1 [max_link_capacity=2]
connection: g2_1-g2_2 [max_link_capacity=1]
connection: g3_1-g4_1 [max_link_capacity=1]
connection: g3_1-g3_2 [max_link_capacity=1]
connection: g4_1-g5_1 [max_link_capacity=1]
connection: g4_1-g4_2 [max_link_capacity=1]
connection: g5_1-g6_1 [max_link_capacity=1]
connection: g5_1-g5_2 [max_link_capacity=2]
connection: g6_1-g7_1 [max_link_capacity=1]
connection: g6_1-g6_2 [max_link_capacity=1]
connection: g7_1-g8_1 [max_link_capacity=2]
connection: g7_1-g7_2 [max_link_capacity=1]
connection: g8_1-g9_1 [max_link_capacity=1]
connection: g8_1-g8_2 [max_link_capacity=2]
connection: g9_1-g10_1 [max_link_capacity=1]
connection: g9_1-g9_2 [max_link_capacity=2]
connection: g10_1-g11_1 [max_link_capacity=2]
connection: g10_1-g10_2 [max_link_capacity=2]
connection: g11_1-g11_2 [max_link_capacity=1]
connection: g0_2-g1_2 [max_link_capacity=1]
connection: g0_2-g0_3 [max_link_capacity=1]
connection: g1_2-g2_2 [max_link_capacity=1]
connection: g1_2-g1_3 [max_link_capacity=1]
connection: g2_2-g3_2 [max_link_capacity=1]
connection: g2_2-g2_3 [max_link_capacity=1]
connection: g3_2-g4_2 [max_link_capacity=2]
connection: g3_2-g3_3 [max_link_capacity=1]
connection: g4_2-g5_2 [max_link_capacity=1]
connection: g4_2-g4_3 [max_link_capacity=1]
connection: g5_2-g6_2 [max_link_capacity=1]
connection: g5_2-g5_3 [max_link_capacity=1]
connection: g6_2-g7_2 [max_link_capacity=2]
connection: g6_2-g6_3 [max_link_capacity=1]
connection: g7_2-g8_2 [max_link_capacity=2]
connection: g7_2-g7_3 [max_link_capacity=2]
connection: g8_2-g9_2 [max_link_capacity=2]
connection: g8_2-g8_3 [max_link_capacity=1]
connection: g9_2-g10_2 [max_link_capacity=1]
connection: g9_2-g9_3 [max_link_capacity=1]
connection: g10_2-g11_2 [max_link_capacity=2]
connection: g10_2-g10_3 [max_link_capacity=1]
connection: g11_2-g11_3 [max_link_capacity=1]
connection: g0_3-g1_3 [max_link_capacity=1]
connection: g0_3-g0_4 [max_link_capacity=1]
connection: g1_3-g2_3 [max_link_capacity=1]
connection: g1_3-g1_4 [max_link_capacity=2]
connection: g2_3-g3_3 [max_link_capacity=1]
connection: g2_3-g2_4 [max_link_capacity=1]
connection: g3_3-g4_3 [max_link_capacity=1]
connection: g3_3-g3_4 [max_link_capacity=1]
connection: g4_3-g5_3 [max_link_capacity=1]
connection: g4_3-g4_4 [max_link_capacity=1]
connection: g5_3-g6_3 [max_link_capacity=1]
connection: g5_3-g5_4 [max_link_capacity=1]
connection: g6_3-g7_3 [max_link_capacity=1]
connection: g6_3-g6_4 [max_link_capacity=2]
connection: g7_3-g8_3 [max_link_capacity=1]
connection: g7_3-g7_4 [max_link_capacity=1]
connection: g8_3-g9_3 [max_link_capacity=2]
connection: g8_3-g8_4 [max_link_capacity=2]
connection: g9_3-g10_3 [max_link_capacity=1]
connection: g9_3-g9_4 [max_link_capacity=1]
connection: g10_3-g11_3 [max_link_capacity=1]
connection: g10_3-g10_4 [max_link_capacity=1]
connection: g11_3-g11_4 [max_link_capacity=1]
connection: g0_4-g1_4 [max_link_capacity=1]
connection: g0_4-g0_5 [max_link_capacity=1]
connection: g1_4-g2_4 [max_link_capacity=1]
connection: g1_4-g1_5 [max_link_capacity=1]
connection: g2_4-g3_4 [max_link_capacity=1]
connection: g2_4-g2_5 [max_link_capacity=1]
connection: g3_4-g4_4 [max_link_capacity=1]
connection: g3_4-g3_5 [max_link_capacity=1]
connection: g4_4-g5_4 [max_link_capacity=1]
connection: g4_4-g4_5 [max_link_capacity=1]
connection: g5_4-g6_4 [max_link_capacity=1]
connection: g5_4-g5_5 [max_link_capacity=1]
connection: g6_4-g7_4 [max_link_capacity=1]
connection: g6_4-g6_5 [max_link_capacity=2]
connection: g7_4-g8_4 [max_link_capacity=2]
connection: g7_4-g7_5 [max_link_capacity=2]
connection: g8_4-g9_4 [max_link_capacity=2]
connection: g8_4-g8_5 [max_link_capacity=2]
connection: g9_4-g10_4 [max_link_capacity=1]
connection: g9_4-g9_5 [max_link_capacity=1]
connection: g10_4-g11_4 [max_link_capacity=1]
connection: g10_4-g10_5 [max_link_capacity=1]
connection: g11_4-g11_5 [max_link_capacity=1]
connection: g0_5-g1_5 [max_link_capacity=1]
connection: g0_5-g0_6 [max_link_capacity=2]
connection: g1_5-g2_5 [max_link_capacity=2]
connection: g1_5-g1_6 [max_link_capacity=2]
connection: g2_5-g3_5 [max_link_capacity=1]
connection: g2_5-g2_6 [max_link_capacity=2]
connection: g3_5-g4_5 [max_link_capacity=1]
connection: g3_5-g3_6 [max_link_capacity=1]
connection: g4_5-g5_5 [max_link_capacity=1]
connection: g4_5-g4_6 [max_link_capacity=2]
connection: g5_5-g6_5 [max_link_capacity=1]
connection: g5_5-g5_6 [max_link_capacity=2]
connection: g6_5-g7_5 [max_link_capacity=2]
connection: g6_5-g6_6 [max_link_capacity=1]
connection: g7_5-g8_5 [max_link_capacity=1]
connection: g7_5-g7_6 [max_link_capacity=2]
connection: g8_5-g9_5 [max_link_capacity=1]
connection: g8_5-g8_6 [max_link_capacity=1]
connection: g9_5-g10_5 [max_link_capacity=1]
connection: g9_5-g9_6 [max_link_capacity=2]
connection: g10_5-g11_5 [max_link_capacity=1]
connection: g10_5-g10_6 [max_link_capacity=2]
connection: g11_5-g11_6 [max_link_capacity=1]
connection: g0_6-g1_6 [max_link_capacity=1]
connection: g0_6-g0_7 [max_link_capacity=1]
connection: g1_6-g2_6 [max_link_capacity=2]
connection: g1_6-g1_7 [max_link_capacity=1]
connection: g2_6-g3_6 [max_link_capacity=2]
connection: g2_6-g2_7 [max_link_capacity=2]
connection: g3_6-g4_6 [max_link_capacity=1]
connection: g3_6-g3_7 [max_link_capacity=2]
connection: g4_6-g5_6 [max_link_capacity=1]
connection: g4_6-g4_7 [max_link_capacity=1]
connection: g5_6-g6_6 [max_link_capacity=2]
connection: g5_6-g5_7 [max_link_capacity=2]
connection: g6_6-g7_6 [max_link_capacity=2]
connection: g6_6-g6_7 [max_link_capacity=2]
connection: g7_6-g8_6 [max_link_capacity=1]
connection: g7_6-g7_7 [max_link_capacity=1]
connection: g8_6-g9_6 [max_link_capacity=1]
connection: g8_6-g8_7 [max_link_capacity=2]
connection: g9_6-g10_6 [max_link_capacity=2]
connection: g9_6-g9_7 [max_link_capacity=1]
connection: g10_6-g11_6 [max_link_capacity=1]
connection: g10_6-g10_7 [max_link_capacity=1]
connection: g11_6-g11_7 [max_link_capacity=1]
connection: g0_7-g1_7 [max_link_capacity=1]
connection: g0_7-g0_8 [max_link_capacity=2]
connection: g1_7-g2_7 [max_link_capacity=2]
connection: g1_7-g1_8 [max_link_capacity=1]
connection: g2_7-g3_7 [max_link_capacity=1]
connection: g2_7-g2_8 [max_link_capacity=1]
connection: g3_7-g4_7 [max_link_capacity=1]
connection: g3_7-g3_8 [max_link_capacity=1]
connection: g4_7-g5_7 [max_link_capacity=1]
connection: g4_7-g4_8 [max_link_capacity=2]
connection: g5_7-g6_7 [max_link_capacity=2]
connection: g5_7-g5_8 [max_link_capacity=1]
connection: g6_7-g7_7 [max_link_capacity=1]
connection: g6_7-g6_8 [max_link_capacity=2]
connection: g7_7-g8_7 [max_link_capacity=1]
connection: g7_7-g7_8 [max_link_capacity=2]
connection: g8_7-g9_7 [max_link_capacity=1]
connection: g8_7-g8_8 [max_link_capacity=1]
connection: g9_7-g10_7 [max_link_capacity=1]
connection: g9_7-g9_8 [max_link_capacity=1]
connection: g10_7-g11_7 [max_link_capacity=1]
connection: g10_7-g10_8 [max_link_capacity=1]
connection: g11_7-g11_8 [max_link_capacity=1]
connection: g0_8-g1_8 [max_link_capacity=1]
connection: g0_8-g0_9 [max_link_capacity=1]
connection: g1_8-g2_8 [max_link_capacity=2]
connection: g1_8-g1_9 [max_link_capacity=2]
connection: g2_8-g3_8 [max_link_capacity=1]
connection: g2_8-g2_9 [max_link_capacity=2]
connection: g3_8-g4_8 [max_link_capacity=2]
connection: g3_8-g3_9 [max_link_capacity=2]
connection: g4_8-g5_8 [max_link_capacity=1]
connection: g4_8-g4_9 [max_link_capacity=2]
connection: g5_8-g6_8 [max_link_capacity=2]
connection: g5_8-g5_9 [max_link_capacity=1]
connection: g6_8-g7_8 [max_link_capacity=2]
connection: g6_8-g6_9 [max_link_capacity=1]
connection: g7_8-g8_8 [max_link_capacity=1]
connection: g7_8-g7_9 [max_link_capacity=1]
connection: g8_8-g9_8 [max_link_capacity=1]
connection: g8_8-g8_9 [max_link_capacity=1]
connection: g9_8-g10_8 [max_link_capacity=2]
connection: g9_8-g9_9 [max_link_capacity=2]
connection: g10_8-g11_8 [max_link_capacity=1]
connection: g10_8-g10_9 [max_link_capacity=1]
connection: g11_8-g11_9 [max_link_capacity=1]
connection: g0_9-g1_9 [max_link_capacity=2]
connection: g0_9-g0_10 [max_link_capacity=1]
connection: g1_9-g2_9 [max_link_capacity=2]
connection: g1_9-g1_10 [max_link_capacity=1]
connection: g2_9-g3_9 [max_link_capacity=1]
connection: g2_9-g2_10 [max_link_capacity=2]
connection: g3_9-g4_9 [max_link_capacity=2]
connection: g3_9-g3_10 [max_link_capacity=1]
connection: g4_9-g5_9 [max_link_capacity=2]
connection: g4_9-g4_10 [max_link_capacity=1]
connection: g5_9-g6_9 [max_link_capacity=1]
connection: g5_9-g5_10 [max_link_capacity=1]
connection: g6_9-g7_9 [max_link_capacity=1]
connection: g6_9-g6_10 [max_link_capacity=2]
connection: g7_9-g8_9 [max_link_capacity=1]
connection: g7_9-g7_10 [max_link_capacity=1]
connection: g8_9-g9_9 [max_link_capacity=1]
connection: g8_9-g8_10 [max_link_capacity=1]
connection: g9_9-g10_9 [max_link_capacity=1]
connection: g9_9-g9_10 [max_link_capacity=1]
connection: g10_9-g11_9 [max_link_capacity=2]
connection: g10_9-g10_10 [max_link_capacity=1]
connection: g11_9-g11_10 [max_link_capacity=1]
connection: g0_10-g1_10 [max_link_capacity=2]
connection: g0_10-g0_11 [max_link_capacity=1]
connection: g1_10-g2_10 [max_link_capacity=2]
connection: g1_10-g1_11 [max_link_capacity=2]
connection: g2_10-g3_10 [max_link_capacity=1]
connection: g2_10-g2_11 [max_link_capacity=2]
connection: g3_10-g4_10 [max_link_capacity=1]
connection: g3_10-g3_11 [max_link_capacity=1]
connection: g4_10-g5_10 [max_link_capacity=1]
connection: g4_10-g4_11 [max_link_capacity=2]
connection: g5_10-g6_10 [max_link_capacity=1]
connection: g5_10-g5_11 [max_link_capacity=2]
connection: g6_10-g7_10 [max_link_capacity=1]
connection: g6_10-g6_11 [max_link_capacity=1]
connection: g7_10-g8_10 [max_link_capacity=2]
connection: g7_10-g7_11 [max_link_capacity=2]
connection: g8_10-g9_10 [max_link_capacity=1]
connection: g8_10-g8_11 [max_link_capacity=1]
connection: g9_10-g10_10 [max_link_capacity=1]
connection: g9_10-g9_11 [max_link_capacity=1]
connection: g10_10-g11_10 [max_link_capacity=1]
connection: g10_10-g10_11 [max_link_capacity=1]
connection: g11_10-g11_11 [max_link_capacity=1]
connection: g0_11-g1_11 [max_link_capacity=1]
connection: g1_11-g2_11 [max_link_capacity=1]
connection: g2_11-g3_11 [max_link_capacity=2]
connection: g3_11-g4_11 [max_link_capacity=1]
connection: g4_11-g5_11 [max_link_capacity=2]
connection: g5_11-g6_11 [max_link_capacity=1]
connection: g6_11-g7_11 [max_link_capacity=1]
connection: g7_11-g8_11 [max_link_capacity=2]
connection: g8_11-g9_11 [max_link_capacity=1]
connection: g9_11-g10_11 [max_link_capacity=2]
connection: g10_11-g11_11 [max_link_capacity=2]
